,gene_short_name,PC-1,PC-2,PC-3,PC-4,SMC-1,SMC-2,SMC-3,SMC-4
ENSMUSG00000000001,Gnai3,92.0204,63.0165,124.933,112.291,70.2438,90.2409,91.0279,98.8542
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,12.2859,18.4124,5.83777,7.10443,2.79727,3.03075,1.8833,1.86667
ENSMUSG00000000031,H19,1.52325,2.84032,0.930587,1.72362,11.0209,6.7565,3.28357,2.96341
ENSMUSG00000000037,Scml2,0.559147,0.328588,0,0.415681,0.446224,1.27807,0.720012,0.848142
ENSMUSG00000000049,Apoh,0.343473,0,0,0,0.347674,0.553079,0.719105,0.988533
ENSMUSG00000000056,Narf,14.6704,6.43738,16.4907,12.989,7.95326,11.3648,6.89032,6.97864
ENSMUSG00000000058,Cav2,20.1532,16.253,13.9216,28.5928,64.8929,102.951,152.459,246.769
ENSMUSG00000000078,Klf6,184.214,102.271,116.056,100.3,168.068,201.847,187.215,170.009
ENSMUSG00000000085,Scmh1,9.10021,5.49613,11.0952,6.19284,7.6701,8.77013,23.3528,10.6337
ENSMUSG00000000088,Cox5a,283.422,883.312,347.715,329.453,279.704,275.022,228.854,280.672
ENSMUSG00000000093,Tbx2,0.795976,0.9038,1.12067,1.25628,1.442,1.46388,3.31519,3.09423
ENSMUSG00000000094,Tbx4,0.623702,1.60545,0.397248,1.11523,1.52808,1.47605,0.467391,0.960478
ENSMUSG00000000103,Zfy2,0,0,0.295191,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0.32346,0.491907,0.336507,0.418519,1.41039,0.861737,2.10386,1.87153
ENSMUSG00000000125,Wnt3,0.117124,0.130956,0.169216,0.148829,0.0997709,0,0.042,0
ENSMUSG00000000126,Wnt9a,0.417898,0.0301374,0.324627,0.0373634,2.6243,2.18898,4.40935,3.41861
ENSMUSG00000000127,Fer,4.8271,3.66336,1.86741,3.21927,13.4922,14.8177,13.9476,16.8048
ENSMUSG00000000131,Xpo6,19.2172,23.8067,52.5963,43.8951,9.73158,7.5014,10.6952,8.28763
ENSMUSG00000000134,Tfe3,14.9554,10.8975,22.9736,29.9778,12.151,10.5317,31.2666,31.8614
ENSMUSG00000000142,Axin2,0.322555,1.115,0.924226,0.771793,0.220909,0.0893056,0.197185,0.141496
ENSMUSG00000000148,Baat1,5.25363,2.48129,7.01693,7.36834,2.66079,2.52554,6.95267,5.34022
ENSMUSG00000000149,Gna12,3.59192,4.23557,2.52893,2.66779,4.44948,3.69414,6.39652,3.99393
ENSMUSG00000000154,Slc22a18,1.78969,1.99878,0.733278,1.26455,8.4861,3.92639,6.46922,4.72627
ENSMUSG00000000157,Itgb2l,0.851569,4.67185,4.81678,0.747583,3.6969,4.44557,2.09287,0.104328
ENSMUSG00000000159,Igsf5,1.87568,3.88343,3.04497,3.49822,0.0505958,0.260611,4.84092,0.0876464
ENSMUSG00000000167,Pih1d2,0.590593,1.77841,0.572639,0.710401,1.31762,1.32118,1.17564,1.03992
ENSMUSG00000000168,Dlat,21.0072,15.7635,22.2205,22.0292,16.0748,18.3025,28.7389,33.6517
ENSMUSG00000000171,Sdhd,171.824,325.604,139.476,164.734,190.996,167.768,171.504,187.36
ENSMUSG00000000182,Fgf23,0.132783,0,0,0.0490632,0.155399,0.169029,0.78577,0.437672
ENSMUSG00000000183,Fgf6,0.127545,0.569455,0,0,0.124688,0.0385038,0.161911,0
ENSMUSG00000000184,Ccnd2,57.1058,52.6536,67.1609,50.8065,26.6595,27.5492,40.9232,45.7965
ENSMUSG00000000194,Gpr107,14.9211,21.272,16.6922,19.8605,16.8959,19.4105,17.8543,16.4402
ENSMUSG00000000197,Nalcn,0.377082,0.10757,0.156372,0.183339,0.923235,2.07237,1.97388,1.66154
ENSMUSG00000000202,Btbd17,0,0.189887,0.172651,0.45687,0.63524,0.49614,0.270334,0.653908
ENSMUSG00000000204,Slfn4,1.15938,0.772786,2.35141,0.0759432,1.82894,2.80292,0.920507,1.12222
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0.844456,0.370255,1.05568,0
ENSMUSG00000000216,Scnn1g,0.0150967,0.0168791,0.654319,0,0.0146982,0,0.057741,0.0138213
ENSMUSG00000000223,Drp2,6.4446,2.42057,17.1879,20.0235,8.75708,8.2351,9.88832,14.4213
ENSMUSG00000000244,Tspan32,63.7183,69.9232,48.6381,33.3365,4.45997,4.17631,2.61221,2.83531
ENSMUSG00000000247,Lhx2,0.057488,0.160806,0,0,0.250692,0.240075,0.0835334,0.158618
ENSMUSG00000000248,Clec2g,0.0192297,0.300469,0.277842,0,0.093695,0.0175156,0,0.0176043
ENSMUSG00000000253,Gmpr,2.9713,2.81444,1.77561,2.31095,6.74891,6.2492,14.4977,9.62233
ENSMUSG00000000263,Glra1,0,0.0299978,0.155059,0,0.0785626,0,0.0256253,0
ENSMUSG00000000266,Mid2,0.582415,1.17058,0.189649,0.525122,1.39331,1.9944,2.16843,2.16105
ENSMUSG00000000275,Trim25,64.3951,41.4853,77.5669,78.5136,16.6262,18.4693,34.5885,42.5295
ENSMUSG00000000276,Dgke,4.48584,2.13296,5.52764,6.00868,1.77323,2.40857,2.76952,3.76585
ENSMUSG00000000278,Scpep1,101.919,114.822,80.1043,88.835,245.799,193.964,122.351,139.763
ENSMUSG00000000282,Mnt,0.828004,1.21348,1.20122,1.24038,0.388848,0.312867,0.500954,0.418218
ENSMUSG00000000290,Itgb2,126.197,58.9898,190.794,188.564,5.2288,5.78495,15.3331,21.3575
ENSMUSG00000000295,Hddc2,37.2392,62.8852,33.3463,28.3439,24.7184,25.0916,24.5587,21.7016
ENSMUSG00000000296,Tpd52l1,0.697516,1.19088,2.0124,0.189416,3.43854,3.04831,18.0901,2.4798
ENSMUSG00000000301,Pemt,4.61028,9.05176,3.68418,4.62713,10.3426,7.09209,5.53518,3.78057
ENSMUSG00000000303,Cdh1,3.94325,1.07215,13.6253,7.60013,1.23464,0.64068,34.1131,1.86378
ENSMUSG00000000305,Cdh4,0.961087,0.776029,0.413632,0.466129,0.849884,0.559075,0.59,0.909266
ENSMUSG00000000308,Ckmt1,1.20073,2.61784,4.02356,0.109246,1.09545,0.10679,28.9176,0.842942
ENSMUSG00000000317,Bcl6b,0.809593,0.281971,1.25286,2.67172,1.83437,4.24412,9.02816,11.4088
ENSMUSG00000000318,Clec10a,12,19.5024,13.8818,25.8638,5.92411,6.94616,4.04772,11.4807
ENSMUSG00000000320,Alox12,0.846675,0.834,0.318727,0.91464,2.36125,2.56656,3.7603,6.35287
ENSMUSG00000000325,Arvcf,1.44372,1.36529,3.03611,2.28027,1.44182,1.5965,6.46447,5.08996
ENSMUSG00000000326,Comt,53.2451,90.7416,35.498,41.2984,187.621,150.421,155.228,135.824
ENSMUSG00000000339,Rtcd1,23.1991,34.1443,14.3613,22.6909,29.0763,25.3479,22.5973,27.2101
ENSMUSG00000000340,Dbt,4.53518,3.11249,3.25672,3.21251,4.32192,6.11895,4.41541,5.78046
ENSMUSG00000000346,Dazap2,757.201,1199.09,751.369,705.921,441.491,401.62,452.373,500.103
ENSMUSG00000000355,Mcts1,68.7514,166.571,64.153,66.2967,83.0212,75.7216,51.3336,64.346
ENSMUSG00000000359,Rem1,2.4126,2.89227,1.64218,2.34843,6.0107,4.51406,5.54128,6.43199
ENSMUSG00000000365,Rnf17,0.18427,0.0147218,0.0887755,0,0,0,0,0.0723208
ENSMUSG00000000374,Trappc10,1.67822,2.16588,1.24385,1.06599,1.00451,0.864669,0.510727,0.756363
ENSMUSG00000000378,Ccm2,110.083,117.845,119.244,128.478,30.3443,25.1266,37.1775,42.1079
ENSMUSG00000000381,Wap,0.043173,0.289505,0,0,0,0.0393045,0,0.0395275
ENSMUSG00000000384,Tbrg4,23.9021,16.5821,18.7141,18.6394,5.852,3.15747,5.71329,5.07643
ENSMUSG00000000385,Tmprss2,1.45052,0.0318012,0.287647,0.236562,4.55453,1.63428,2.77432,0.377561
ENSMUSG00000000386,Mx1,1.47415,1.0218,0.401239,0.109536,1.30265,0.784094,0.533745,0.14921
ENSMUSG00000000392,Fap,6.57134,5.44706,2.64641,2.76476,49.9026,57.5439,31.0799,31.2473
ENSMUSG00000000394,Gcg,0.437993,0,0,0,0.684262,0.931097,0.767867,1.21544
ENSMUSG00000000399,Ndufa9,124.169,226.919,102.887,132.177,153.591,146.054,136.815,153.629
ENSMUSG00000000402,Egfl6,5.61841,1.60327,1.91734,1.09137,11.7646,10.442,17.3541,8.51124
ENSMUSG00000000409,Lck,491.461,465.45,426.387,350.284,7.68704,9.19423,5.27438,8.1957
ENSMUSG00000000411,Tssk3,0,0,0,0.0373995,0.197941,0,0,0
ENSMUSG00000000416,Cttnbp2,1.04843,0.706936,0.974865,0.527404,1.93728,2.05913,2.65989,4.02875
ENSMUSG00000000420,Galnt1,9.21814,13.8759,8.33074,7.79916,9.53761,8.47709,5.00463,6.04347
ENSMUSG00000000435,Myf5,21.9968,24.5066,2.28761,8.78127,44.6009,35.7776,6.11657,9.09597
ENSMUSG00000000439,Mkrn2,26.367,21.8938,26.6181,22.5406,20.4818,21.0997,19.7525,19.8111
ENSMUSG00000000440,Pparg,1.42222,1.37575,1.55307,4.17736,7.58472,12.1778,15.7929,19.211
ENSMUSG00000000441,Raf1,66.2103,38.8772,68.0382,63.0578,55.5204,56.3216,55.7236,54.8765
ENSMUSG00000000486,Sept1,112.313,167.565,134.492,133.836,3.75026,3.68988,6.31056,4.70649
ENSMUSG00000000489,Pdgfb,1.11686,2.23723,0.373498,0.946097,1.55564,2.16395,1.9429,2.37164
ENSMUSG00000000530,Acvrl1,7.13587,8.23104,10.4431,14.8684,24.1449,23.8637,62.86,91.3742
ENSMUSG00000000531,Grasp,0.635471,2.3671,2.06181,5.47939,3.92334,1.4135,2.65204,1.27139
ENSMUSG00000000532,Acvr1b,0.3416,0.656977,0.408009,0.745049,0.199506,0.174501,0.653411,0.525398
ENSMUSG00000000538,Tom1l2,10.0153,4.57222,16.3973,16.4959,9.31807,12.6407,36.8321,43.7256
