GeneID,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
A2M_1,43,40,73,63,10,0,18,28,20,23,13,10,0,0,0,0
AAMP_2,25,6,27,21,10,27,11,8,31,24,18,15,39,67,83,41
AARS1_3,19,13,17,12,23,25,26,53,3,13,9,6,31,9,32,17
AATF_4,4,2,5,4,0,1,10,12,7,5,3,5,19,8,13,26
ABCB1_12,18,18,19,10,0,0,16,7,6,8,13,8,6,0,6,0
ABCC2_22,20,12,19,10,0,0,6,4,4,7,2,0,4,0,0,0
ABCC5_26,32,44,56,40,8,5,60,24,50,30,41,19,26,33,95,95
ABCE1_32,223,406,387,331,85,78,356,381,107,162,146,119,164,6,12,0
ABCF1_35,24,32,24,15,82,14,25,49,40,11,23,17,117,7,64,0
ABCF3_36,13,1,5,3,0,11,2,1,13,3,1,0,10,21,15,0
ABCG1_37,11,4,6,7,9,31,6,12,3,3,1,1,10,26,18,19
ABCC3_38,2,4,0,1,0,0,2,0,4,1,3,4,1,6,12,0
ABCG2_39,68,52,80,70,137,31,95,113,52,30,19,17,42,13,40,41
ABCG2_40,12,22,21,14,0,0,9,14,2,5,6,7,0,0,0,0
ABCG2_41,4,3,7,1,43,1,22,30,28,11,4,1,26,0,41,10
ABHD6_45,10,9,12,7,8,25,9,1,11,4,7,6,2,5,14,20
ABL1_46,1,0,4,2,0,0,7,4,3,1,0,0,12,0,3,0
ACADL_49,6,6,5,9,0,0,6,0,2,2,1,1,0,0,0,0
ACAT2_56,50,90,74,64,23,28,66,104,23,32,42,20,49,0,15,10
ACBD3_59,42,38,55,36,38,72,59,55,36,36,26,9,43,73,75,28
ACD_60,5,2,1,2,9,0,0,12,10,3,5,1,7,7,7,0
ACE_61,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ACHE_63,4,1,2,0,4,10,0,7,1,0,0,0,4,0,0,0
ACLY_66,48,48,81,51,94,37,82,112,49,36,43,33,158,40,111,68
ACOT9_69,23,13,32,24,20,5,6,17,8,2,6,9,12,12,4,27
ACSL1_75,144,126,165,118,91,57,119,111,514,287,275,193,963,474,838,741
ACTB_80,310,286,459,280,525,1135,962,447,299,281,332,242,248,1875,1093,1668
ACTBP9_82,9,1,4,3,0,3,0,0,1,4,5,5,0,12,19,0
ACTN2_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR10_93,67,73,55,56,41,27,69,84,26,35,35,27,77,47,86,75
ADAM10_102,55,96,99,66,57,7,116,292,152,108,84,51,196,56,189,120
ADAM23_104,24,62,34,51,0,3,53,44,13,22,11,18,18,0,0,0
ADAMTS2_106,6,1,0,0,0,0,7,0,0,2,1,1,0,0,1,0
ADARB1_112,37,15,29,25,68,17,65,27,32,16,5,13,16,104,34,31
ADAT1_113,35,47,55,44,22,7,16,35,2,12,14,8,4,0,10,0
COQ8A_114,8,3,3,2,14,8,6,4,15,7,7,9,54,17,9,13
ADCY8_120,6,4,6,1,0,0,0,2,6,2,4,1,8,0,0,0
ADCY9_121,1,1,2,0,0,0,0,0,0,0,1,0,8,0,0,0
ADH1A_126,36,64,108,61,0,21,55,83,9,29,33,21,0,0,4,0
