Unnamed: 0,counts_S93,counts_S94,counts_S107,counts_S108
ENSG00000223972.5,0,0,0,0
ENSG00000227232.5,39,44,48,52
ENSG00000278267.1,4,7,4,9
ENSG00000243485.5,0,0,0,0
ENSG00000284332.1,0,0,0,0
ENSG00000237613.2,0,0,0,0
ENSG00000268020.3,0,0,0,0
ENSG00000240361.2,0,0,0,0
ENSG00000186092.6,0,0,0,0
ENSG00000238009.6,6,0,0,6
ENSG00000239945.1,0,0,0,0
ENSG00000233750.3,0,0,0,0
ENSG00000268903.1,45,47,84,92
ENSG00000269981.1,52,44,62,56
ENSG00000239906.1,1,0,2,1
ENSG00000241860.6,16,10,29,19
ENSG00000222623.1,1,0,3,1
ENSG00000241599.1,0,0,0,0
ENSG00000279928.2,0,0,0,0
ENSG00000279457.4,45,44,49,59
ENSG00000273874.1,0,0,0,0
ENSG00000228463.10,1,5,6,4
ENSG00000236679.2,0,0,0,0
ENSG00000236601.2,0,0,0,0
ENSG00000237094.12,23,29,43,69
ENSG00000269732.1,0,0,0,0
ENSG00000284733.1,0,0,0,0
ENSG00000233653.3,0,0,0,0
ENSG00000250575.1,0,0,0,0
ENSG00000278757.1,0,0,0,0
ENSG00000230021.10,5,4,17,4
ENSG00000235146.2,0,0,0,0
ENSG00000225972.1,7,10,13,7
ENSG00000225630.1,2890,3001,2778,3639
ENSG00000237973.1,552,543,582,698
ENSG00000278791.1,0,0,0,1
ENSG00000229344.1,73,54,61,69
ENSG00000240409.1,1,0,0,0
ENSG00000248527.1,3119,2719,3011,3988
ENSG00000198744.5,31,48,40,41
ENSG00000268663.1,0,0,0,0
ENSG00000284662.1,0,0,0,0
ENSG00000229376.3,0,0,0,0
ENSG00000228327.3,74,70,114,113
ENSG00000223181.1,1,0,2,1
ENSG00000229905.1,0,0,0,0
ENSG00000237491.8,33,22,55,52
ENSG00000285268.1,0,0,0,0
ENSG00000230092.7,19,9,22,29
ENSG00000177757.2,0,0,0,1
ENSG00000228794.8,82,94,132,175
ENSG00000225880.5,15,15,40,38
ENSG00000230368.2,0,0,0,0
ENSG00000234711.1,0,0,0,0
ENSG00000283040.1,0,0,0,0
ENSG00000272438.1,0,0,0,0
ENSG00000230699.2,0,0,0,1
ENSG00000241180.1,0,0,0,0
ENSG00000223764.2,4,3,2,0
ENSG00000187634.11,2,1,0,6
ENSG00000188976.10,937,801,1237,1513
ENSG00000187961.13,158,135,123,206
ENSG00000187583.10,185,170,234,273
ENSG00000187642.9,5,1,0,2
ENSG00000272512.1,9,11,11,26
ENSG00000188290.10,60,72,58,90
ENSG00000187608.9,187,219,182,159
ENSG00000231702.2,4,2,0,1
ENSG00000224969.1,1,0,0,0
ENSG00000188157.14,9971,10975,11403,14214
ENSG00000242590.1,0,0,0,0
ENSG00000217801.9,9,7,11,15
ENSG00000273443.1,1,0,2,2
ENSG00000237330.2,78,66,73,83
ENSG00000131591.17,258,259,305,370
ENSG00000285812.1,0,0,1,0
ENSG00000223823.1,1,2,13,3
ENSG00000207730.3,33,14,53,89
ENSG00000207607.3,31,19,46,52
ENSG00000198976.1,37,49,99,128
ENSG00000272141.1,141,148,261,357
ENSG00000205231.1,0,0,0,0
ENSG00000162571.13,17,21,29,32
ENSG00000186891.13,1,2,2,0
ENSG00000186827.10,0,0,0,2
ENSG00000078808.16,2642,3046,2681,3417
ENSG00000176022.5,144,112,194,271
ENSG00000184163.3,109,128,67,82
ENSG00000260179.1,5,5,2,13
ENSG00000160087.20,578,610,654,798
ENSG00000230415.1,5,1,2,6
ENSG00000162572.20,41,38,29,48
ENSG00000131584.18,1053,1047,1188,1531
ENSG00000278073.1,0,0,0,0
ENSG00000169972.11,139,149,165,212
ENSG00000127054.20,807,735,868,1057
ENSG00000283712.1,0,0,0,0
ENSG00000240731.1,42,21,40,30
ENSG00000224051.6,890,899,745,942
ENSG00000169962.4,3,10,16,3
ENSG00000107404.19,1633,1835,1738,2028
ENSG00000284372.1,0,0,0,0
ENSG00000162576.16,10,9,16,17
ENSG00000175756.13,640,608,614,830
ENSG00000223663.2,0,0,1,0
ENSG00000221978.11,2026,2096,2677,3670
ENSG00000224870.6,152,140,179,246
ENSG00000242485.5,355,307,409,453
ENSG00000264293.2,0,0,0,0
ENSG00000272455.1,20,33,41,48
ENSG00000235098.8,0,0,0,0
ENSG00000225905.1,0,0,0,0
ENSG00000205116.3,0,0,0,0
ENSG00000225285.1,2,0,2,2
ENSG00000179403.11,579,707,721,1104
ENSG00000215915.9,0,0,4,2
ENSG00000160072.19,441,449,589,744
ENSG00000284740.1,0,1,1,6
ENSG00000197785.13,262,209,312,486
ENSG00000205090.8,6,17,13,10
ENSG00000160075.11,1014,1071,1164,1400
ENSG00000215014.5,4,3,6,16
ENSG00000274481.1,0,0,0,0
ENSG00000228594.3,82,90,154,183
ENSG00000272106.1,59,75,57,69
ENSG00000197530.12,536,573,596,804
ENSG00000189409.13,0,1,0,1
ENSG00000248333.8,472,456,450,512
ENSG00000272004.1,0,2,2,0
ENSG00000189339.11,1126,1261,1187,1523
ENSG00000269737.2,1,1,0,1
ENSG00000215914.4,2,0,0,2
ENSG00000008128.22,20,28,40,29
ENSG00000268575.1,37,39,44,58
ENSG00000227775.3,0,0,1,2
ENSG00000215790.7,537,543,581,696
ENSG00000008130.15,1554,1651,1697,1967
ENSG00000078369.17,6121,5977,5504,6592
ENSG00000231050.1,7,6,16,6
ENSG00000169885.9,1,4,11,1
ENSG00000178821.12,23,12,10,24
ENSG00000142609.18,0,0,0,1
ENSG00000233542.1,1,0,0,0
ENSG00000187730.8,0,0,0,0
ENSG00000226969.1,5,0,0,1
ENSG00000067606.16,1104,1124,1159,1224
ENSG00000271806.1,2,3,3,1
ENSG00000182873.5,5,2,2,0
ENSG00000162585.16,212,188,286,355
ENSG00000234396.3,1,0,0,3
ENSG00000157933.9,1119,1224,1181,1551
ENSG00000116151.13,179,159,276,315
ENSG00000272161.1,0,0,0,0
ENSG00000269896.2,9,17,24,28
ENSG00000272420.1,6,1,12,16
ENSG00000157916.19,2327,2634,2387,2711
ENSG00000157911.10,234,224,270,328
ENSG00000149527.17,110,92,182,254
ENSG00000224387.1,0,3,1,0
ENSG00000229393.1,0,0,1,0
ENSG00000157881.13,328,307,399,478
ENSG00000197921.5,19,13,9,13
ENSG00000272449.2,14,9,21,29
ENSG00000238164.6,1009,875,1141,1039
ENSG00000157873.17,1831,1853,1979,2478
ENSG00000225931.3,7,8,16,21
ENSG00000228037.1,46,54,60,84
ENSG00000157870.15,2273,2197,2441,3202
ENSG00000142606.15,37,40,52,77
ENSG00000237058.1,0,0,0,0
ENSG00000215912.12,31,21,39,32
ENSG00000285945.1,0,0,0,0
ENSG00000283259.1,0,0,1,0
ENSG00000233234.1,0,0,0,0
ENSG00000231630.1,0,0,0,0
ENSG00000284745.1,0,0,0,0
ENSG00000169717.6,0,0,0,0
ENSG00000177133.10,0,3,1,7
ENSG00000142611.16,73,56,106,177
ENSG00000283572.1,1,0,0,0
ENSG00000226286.1,0,0,0,0
ENSG00000279839.1,4,3,3,4
ENSG00000272235.1,5,3,12,20
ENSG00000130762.14,1338,1593,1383,1453
ENSG00000272088.1,6,5,10,5
ENSG00000162591.15,193,137,293,394
ENSG00000207776.1,0,0,0,0
ENSG00000238260.1,12,3,12,9
ENSG00000158109.14,1632,1677,1457,1904
ENSG00000116213.15,305,271,294,410
ENSG00000078900.14,1,10,22,26
ENSG00000227589.1,0,0,0,1
ENSG00000235131.1,0,0,0,0
ENSG00000227372.12,128,122,187,243
ENSG00000276189.1,0,0,0,0
ENSG00000162592.9,0,0,1,0
ENSG00000235169.8,18,16,24,40
ENSG00000130764.9,469,474,560,662
ENSG00000266075.2,1,2,2,0
ENSG00000272153.1,2,4,2,4
ENSG00000116198.12,763,803,780,922
ENSG00000169598.15,58,77,113,164
ENSG00000198912.10,218,200,256,290
ENSG00000236423.5,107,78,88,129
ENSG00000233304.6,0,0,0,0
ENSG00000226374.2,0,0,0,0
ENSG00000284668.1,0,0,0,0
ENSG00000284703.1,0,0,0,0
ENSG00000229280.1,0,0,0,0
ENSG00000235054.3,0,0,0,0
ENSG00000284694.1,0,0,0,0
ENSG00000227169.2,0,0,0,0
ENSG00000232596.2,0,0,0,0
ENSG00000196581.10,0,0,0,0
ENSG00000284739.1,0,0,0,0
ENSG00000284674.1,0,0,0,0
ENSG00000231510.1,0,0,0,0
ENSG00000284616.1,0,0,0,0
ENSG00000284692.2,0,0,0,0
ENSG00000284666.1,0,0,0,0
ENSG00000260972.1,0,0,0,0
ENSG00000283356.1,0,0,0,0
ENSG00000236948.2,0,0,0,0
ENSG00000264341.1,0,0,0,0
ENSG00000264101.1,0,0,1,1
ENSG00000131697.17,248,231,342,535
ENSG00000069424.14,638,638,1017,1774
ENSG00000116254.17,5,6,5,17
ENSG00000285629.1,0,2,0,2
ENSG00000116251.10,772,560,882,1186
ENSG00000226944.1,5,3,20,28
ENSG00000158286.12,569,446,661,732
ENSG00000116237.15,1871,1850,1841,2512
ENSG00000225077.3,4,3,3,2
ENSG00000173673.7,0,0,0,0
ENSG00000158292.6,483,637,527,753
ENSG00000097021.19,367,327,461,506
ENSG00000271746.1,3,0,2,4
ENSG00000069812.11,151,120,169,226
ENSG00000187017.16,443,484,437,488
ENSG00000265392.1,0,0,0,0
ENSG00000231868.1,0,0,3,1
ENSG00000215788.10,164,192,193,279
ENSG00000171680.21,251,280,349,443
ENSG00000162408.10,603,548,785,904
ENSG00000253022.1,0,0,0,0
ENSG00000229519.2,0,0,0,0
ENSG00000173662.20,1,0,0,0
ENSG00000204859.12,279,289,330,366
ENSG00000162413.16,253,232,392,498
ENSG00000116273.5,317,364,306,457
ENSG00000041988.15,110,107,133,195
ENSG00000007923.15,989,999,1161,1374
ENSG00000228750.6,0,0,0,0
ENSG00000284744.1,0,0,0,0
ENSG00000237436.1,2,2,0,1
ENSG00000171735.18,213,227,252,328
ENSG00000227950.1,0,0,0,0
ENSG00000237365.1,0,0,0,0
ENSG00000207056.1,0,0,0,0
ENSG00000237402.1,1,0,0,0
ENSG00000237728.2,0,0,0,0
ENSG00000225126.1,0,0,0,0
ENSG00000270171.1,0,0,0,2
ENSG00000270035.1,0,1,1,1
ENSG00000269978.1,4,5,5,4
ENSG00000049245.12,1809,1600,1614,1888
ENSG00000269925.1,3,8,6,13
ENSG00000049246.14,434,466,330,459
ENSG00000236266.1,14,14,27,27
ENSG00000049247.13,2,3,5,17
ENSG00000049249.8,234,212,211,126
ENSG00000270330.1,0,0,0,0
ENSG00000116288.12,943,846,1107,1343
ENSG00000200344.1,0,0,0,0
ENSG00000284747.1,12,9,10,11
ENSG00000284716.1,2,0,1,0
ENSG00000116285.12,2740,3115,1571,1621
ENSG00000238290.1,1,8,4,7
ENSG00000232848.1,0,0,0,0
ENSG00000229305.1,0,2,0,0
ENSG00000227634.2,1,2,0,1
ENSG00000200975.1,0,0,0,0
ENSG00000233645.1,0,0,0,0
ENSG00000251977.1,0,0,0,0
ENSG00000162426.14,26,17,35,39
ENSG00000252254.1,0,1,0,0
ENSG00000142599.17,2095,2263,1987,2501
ENSG00000232912.5,1,3,2,3
ENSG00000221083.1,0,0,6,4
ENSG00000270282.1,0,0,0,0
ENSG00000234619.1,0,0,0,0
ENSG00000224315.2,8,8,10,12
ENSG00000222511.2,0,0,1,3
ENSG00000226545.1,0,0,0,0
ENSG00000228423.2,9,8,19,15
ENSG00000229716.2,0,0,0,0
ENSG00000074800.15,8279,8307,11552,15431
ENSG00000274258.1,0,0,0,0
ENSG00000230679.1,1,2,1,2
ENSG00000201725.1,0,0,0,0
ENSG00000238249.2,0,0,0,0
ENSG00000232208.2,0,0,0,0
ENSG00000232663.2,0,0,0,0
ENSG00000131686.14,0,0,0,1
ENSG00000265141.2,0,0,0,0
ENSG00000197241.3,0,0,0,0
ENSG00000142583.17,51,72,53,54
ENSG00000252404.1,0,0,0,0
ENSG00000180758.11,220,233,275,422
ENSG00000228526.7,464,424,686,696
ENSG00000284357.1,0,0,0,0
ENSG00000234546.3,14,16,31,42
ENSG00000049239.12,1164,1179,1427,1876
ENSG00000171621.13,228,217,250,266
ENSG00000284652.1,0,0,2,0
ENSG00000284693.1,0,0,10,4
ENSG00000252956.1,0,0,0,0
ENSG00000235263.1,0,0,0,0
ENSG00000171612.6,54,48,58,102
ENSG00000231181.1,4,3,5,10
ENSG00000188807.12,86,71,137,213
ENSG00000171608.15,50,55,82,122
ENSG00000179840.5,0,0,0,0
ENSG00000233268.3,0,0,0,0
ENSG00000231789.2,1,1,3,8
ENSG00000171603.17,7919,9152,6998,8693
ENSG00000271264.1,0,0,0,0
ENSG00000280113.2,0,0,0,0
ENSG00000178585.14,318,320,362,412
ENSG00000223989.1,2,0,0,0
ENSG00000285701.1,1,1,0,0
ENSG00000162441.11,516,515,535,516
ENSG00000228150.1,7,9,9,12
ENSG00000173614.13,259,215,287,269
ENSG00000202415.1,14,14,20,15
ENSG00000283611.2,0,0,0,0
ENSG00000265521.1,3,4,5,6
ENSG00000241326.1,0,0,0,0
ENSG00000162444.11,6,2,3,6
ENSG00000130939.18,1194,1233,1409,1523
ENSG00000224340.1,0,0,0,0
